match_id,team,possession_share_proxy,passes_attempted,passes_completed,pass_accuracy_pct,shots_total,shots_on_target,shots_inside_box,shots_outside_box,shots_blocked,goals,fouls_committed,corners,offsides,gk_saves,peligrosidad_proxy
762820,Barracas Central,0.333,277,198,71.5,13,6,,,3,2,17,2,0,4,2.36
762820,Gimnasia La Plata,0.667,531,460,86.6,12,4,,,0,0,10,7,4,3,1.84
762824,Estudiantes de La Plata,0.722,503,437,86.9,16,6,,,4,1,7,4,3,3,2.6
762824,Deportivo Riestra,0.278,193,103,53.4,8,3,,,2,0,22,5,1,5,1.3
762827,Lanús,0.451,465,384,82.6,9,4,,,1,1,12,0,2,4,1.6
762827,Talleres (Córdoba),0.549,573,481,83.9,12,5,,,4,1,12,3,0,3,2.06
762823,Estudiantes de Río Cuarto,0.489,346,224,64.7,12,0,,,1,0,12,3,1,3,0.96
762823,Independiente Rivadavia,0.511,363,240,66.1,15,3,,,4,1,9,4,5,0,1.86
762847,Tigre,0.444,283,188,66.4,14,6,,,4,1,9,7,0,0,2.44
762847,Aldosivi,0.556,344,259,75.3,10,0,,,2,0,17,4,1,5,0.8
762834,Argentinos Juniors,0.479,402,299,74.4,14,5,,,4,1,9,1,5,1,2.22
762834,River Plate,0.521,433,323,74.6,9,1,,,4,0,17,1,3,4,0.94
762842,Independiente,0.498,362,286,79.0,17,3,,,7,2,18,7,3,0,2.02
762842,Lanús,0.502,379,290,76.5,5,0,,,1,0,14,1,5,1,0.4
762838,Defensa y Justicia,0.342,290,213,73.4,6,2,,,3,1,14,5,0,1,0.92
762838,Vélez Sarsfield,0.658,564,465,82.4,12,2,,,0,1,10,1,1,1,1.4
762848,Unión (Santa Fe),0.542,334,245,73.4,23,6,,,5,0,10,6,2,2,3.16
762848,San Lorenzo,0.458,291,195,67.0,5,3,,,0,0,14,1,1,4,1.06
762836,Banfield,0.431,277,184,66.4,11,2,,,4,0,7,8,4,3,1.32
762836,Racing Club,0.569,390,305,78.2,11,5,,,3,2,14,3,3,3,1.98
762841,Huracán,0.549,310,223,71.9,9,4,,,1,1,10,6,3,0,1.6
762841,Sarmiento (Junín),0.451,265,171,64.5,3,0,,,1,0,23,2,1,3,0.24
762846,Talleres (Córdoba),0.625,486,397,81.7,13,6,,,4,2,12,4,1,4,2.36
762846,Gimnasia (Mendoza),0.375,286,204,71.3,8,5,,,0,1,14,2,1,4,1.74
762835,Atlético Tucumán,0.486,266,176,66.2,18,7,,,3,4,13,7,7,0,2.98
762835,Estudiantes de Río Cuarto,0.514,279,172,61.6,5,0,,,2,0,11,2,3,3,0.4
762843,Independiente Rivadavia,0.484,315,244,77.5,16,3,,,2,0,14,8,2,2,1.94
762843,Belgrano (Córdoba),0.516,355,288,81.1,11,3,,,3,1,12,5,1,3,1.54
762840,Gimnasia La Plata,0.41,292,228,78.1,11,2,,,6,0,14,4,1,3,1.32
762840,Estudiantes de La Plata,0.59,428,369,86.2,14,4,,,2,0,13,6,0,2,2.0
762837,Boca Juniors,0.628,524,425,81.1,10,3,,,2,0,6,1,3,1,1.46
762837,Platense,0.372,299,210,70.2,14,1,,,3,0,12,2,1,3,1.34
762844,Instituto (Córdoba),0.461,271,177,65.3,11,2,,,4,2,22,3,3,0,1.32
762844,Central Córdoba (Santiago del Estero),0.539,323,233,72.1,8,0,,,4,0,18,5,2,0,0.64
762845,Rosario Central,0.662,528,456,86.4,19,7,,,2,2,11,3,2,3,3.06
762845,Barracas Central,0.338,274,201,73.4,3,3,,,0,0,16,0,0,5,0.9
762839,Deportivo Riestra,0.497,276,152,55.1,16,5,,,6,1,17,4,0,3,2.38
762839,Newell's Old Boys,0.503,278,162,58.3,7,4,,,0,1,6,4,3,3,1.44
762853,Defensa y Justicia,0.572,448,375,83.7,11,3,,,2,1,7,5,3,2,1.54
762853,Belgrano (Córdoba),0.428,341,258,75.7,13,3,,,2,1,9,3,2,2,1.7
762855,Estudiantes de La Plata,0.422,274,198,72.3,12,7,,,0,1,14,4,0,3,2.5
762855,Sarmiento (Junín),0.578,389,315,81.0,12,3,,,5,0,8,4,1,6,1.62
762851,Boca Juniors,0.472,310,204,65.8,4,0,,,2,0,12,8,5,2,0.32
762851,Racing Club,0.528,354,264,74.6,6,2,,,2,0,15,3,2,0,0.92
762858,Instituto (Córdoba),0.648,399,292,73.2,15,3,,,6,2,9,4,1,0,1.86
762858,Atlético Tucumán,0.352,220,130,59.1,7,1,,,2,1,14,2,1,0,0.78
762856,Gimnasia (Mendoza),0.588,433,358,82.7,26,6,,,4,0,10,7,2,1,3.4
762856,Gimnasia La Plata,0.412,315,225,71.4,9,2,,,2,1,16,4,3,6,1.16
762860,Rosario Central,0.683,484,405,83.7,14,4,,,5,0,9,12,0,3,2.0
762860,Talleres (Córdoba),0.317,236,163,69.1,8,4,,,3,1,18,2,3,4,1.52
762857,Independiente Rivadavia,0.379,232,153,65.9,18,5,,,5,3,11,3,3,3,2.54
762857,Independiente,0.621,384,300,78.1,17,5,,,2,2,6,9,1,2,2.46
762859,Platense,0.647,508,430,84.6,14,7,,,2,1,16,4,2,3,2.66
762859,Barracas Central,0.353,290,198,68.3,6,3,,,1,0,17,1,3,6,1.14
762863,Banfield,0.525,255,184,72.2,17,9,,,2,3,15,4,2,2,3.34
