match_id,team,possession_share_proxy,passes_attempted,passes_completed,pass_accuracy_pct,shots_total,shots_on_target,shots_inside_box,shots_outside_box,shots_blocked,goals,fouls_committed,corners,offsides,gk_saves,peligrosidad_proxy
762892,Talleres (Córdoba),0.574,363,272,74.9,15,6,,,2,0,12,12,1,5,2.52
762892,San Lorenzo,0.426,271,191,70.5,11,5,,,3,0,10,6,0,5,1.98
762890,Newell's Old Boys,0.381,257,167,65.0,7,2,,,4,0,24,1,3,3,1.0
762890,Rosario Central,0.619,419,330,78.8,11,6,,,2,2,7,8,2,1,2.2
762879,Argentinos Juniors,0.725,584,497,85.1,19,8,,,2,1,8,8,7,4,3.28
762879,Barracas Central,0.275,231,135,58.4,13,5,,,4,1,8,1,1,7,2.14
762889,Instituto (Córdoba),0.632,493,396,80.3,8,2,,,2,1,14,5,0,1,1.08
762889,Unión (Santa Fe),0.368,283,194,68.6,7,3,,,2,2,13,2,1,2,1.22
762883,Defensa y Justicia,0.446,420,342,81.4,13,5,,,1,1,8,4,0,2,2.14
762883,Lanús,0.554,534,454,85.0,10,3,,,2,1,10,5,1,5,1.46
762893,Tigre,0.526,342,254,74.3,21,6,,,5,2,9,9,1,1,3.0
762893,Gimnasia La Plata,0.474,327,240,73.4,5,3,,,0,2,18,2,0,4,1.06
762884,Deportivo Riestra,0.407,268,165,61.6,8,4,,,3,0,14,7,3,3,1.52
762884,Platense,0.593,391,293,74.9,9,3,,,1,0,12,4,2,4,1.38
762885,Estudiantes de La Plata,0.569,415,346,83.4,12,2,,,8,0,13,9,3,0,1.4
762885,Vélez Sarsfield,0.431,316,245,77.5,9,1,,,0,1,16,5,1,2,0.94
762881,Banfield,0.345,234,155,66.2,14,2,,,4,2,14,5,0,0,1.56
762881,Aldosivi,0.655,451,355,78.7,14,0,,,6,0,7,4,1,0,1.12
762888,Independiente Rivadavia,0.299,233,153,65.7,12,5,,,2,1,13,2,4,2,2.06
762888,River Plate,0.701,577,486,84.2,12,3,,,3,1,10,2,4,4,1.62
