team,player_name,birth_date,age_years,market_value_eur,position,club,source,retrieved_at
Netherlands,Denzel Dumfries,,,25000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Lutsharel Geertruida,,,20000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Ryan Gravenberch,,,80000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Teun Koopmeiners,,,14000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Marten de Roon,,,3200000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Tijjani Reijnders,,,50000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Frenkie de Jong,,,35000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Quinten Timber,,,25000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Justin Kluivert,,,25000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Guus Til,,,15000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Cody Gakpo,,,60000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Crysencio Summerville,,,35000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Noa Lang,,,22000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Donyell Malen,,,45000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Brian Brobbey,,,30000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Memphis Depay,,,7000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Wout Weghorst,,,2000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Norway,Sander Tangvik,,,3000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Egil Selvik,,,1500000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Ørjan Nyland,,,800000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Kristoffer Ajer,,,18000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Leo Østigård,,,13000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Torbjørn Heggem,,,13000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Henrik Falchener,,,6000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Sondre Langås,,,4000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,David Møller Wolfe,,,8000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Fredrik Bjørkan,,,3500000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Julian Ryerson,,,25000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Marcus Pedersen,,,3500000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Sander Berge,,,25000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Patrick Berg,,,8000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Fredrik Aursnes,,,15000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Kristian Thorstvedt,,,12000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Morten Thorsby,,,2800000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Martin Ødegaard,,,65000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Thelo Aasgaard,,,2800000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Antonio Nusa,,,32000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Andreas Schjelderup,,,30000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Jens Petter Hauge,,,12000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Oscar Bobb,,,28000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Erling Haaland,,,200000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Jørgen Strand Larsen,,,40000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Norway,Alexander Sørloth,,,18000000.0,,,transfermarkt,2026-07-14T01:29:22.483187+00:00
Belgium,Senne Lammens,,,35000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Mike Penders,,,25000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Thibaut Courtois,,,15000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Zeno Debast,,,28000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Nathan Ngoy,,,25000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Koni De Winter,,,23000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Arthur Theate,,,17000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Brandon Mechele,,,2800000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Maxim De Cuyper,,,22000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Joaquin Seys,,,20000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Timothy Castagne,,,8000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Thomas Meunier,,,1500000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Amadou Onana,,,45000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Nicolas Raskin,,,12000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Axel Witsel,,,1200000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Youri Tielemans,,,30000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Alexis Saelemaekers,,,20000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Diego Moreira,,,25000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Charles De Ketelaere,,,30000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Kevin De Bruyne,,,8000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Hans Vanaken,,,5000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Jérémy Doku,,,75000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Leandro Trossard,,,18000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Dodi Lukébakio,,,15000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Matias Fernandez-Pardo,,,35000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Belgium,Romelu Lukaku,,,6000000.0,,,transfermarkt,2026-07-14T01:29:25.005280+00:00
Ivory Coast,Yahia Fofana,,,5000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Alban Lafont,,,3000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Mohamed Koné,,,2000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Ousmane Diomande,,,42000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Evan Ndicka,,,35000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Emmanuel Agbadou,,,16000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Odilon Kossounou,,,15000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Christopher Operi,,,4000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Ghislain Konan,,,3000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Wilfried Singo,,,23000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Guéla Doué,,,20000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Ibrahim Sangaré,,,20000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Jean Michaël Seri,,,100000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Christ Inao Oulaï,,,23000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
Ivory Coast,Franck Kessié,,,12000000.0,,,transfermarkt,2026-07-14T01:29:28.262953+00:00
